id,name,type,country,company_hint,domain,linkedin_candidate,linkedin_confidence,linkedin_source,email_candidate,email_confidence,email_source,action,notes
8ace509a-2fdc-4519-9090-ee3b20abea3c,Charles Hudson,vc,USA,Precursor,precursorvc.com,,0.0,,,0.0,,none,skipped | skipped
1374b546-8f01-4b1f-b25d-e336401fb9e0,Pieter Levels,angel,Netherlands,levels,levels.io,,0.0,,,0.0,,none,skipped
c75d0de5-55da-4e83-9b83-ee14fa387935,Balaji Srinivasan,angel,Singapore,Coinbase,coinbase.com,,0.0,,,0.0,,none,skipped
177e0616-222a-484f-864d-bce38cfc0e41,Ron Conway,angel,USA,SV Angel,svangel.com,https://www.linkedin.com/company/sv-angel,0.2,https://svangel.com,,0.0,,none,linkedin link found on public website | skipped
9291e4c2-1ab8-4fc3-9af2-fee80c36f3ad,Elad Gil,angel,USA,Coinbase,coinbase.com,,0.0,,,0.0,,none,skipped
554d9d94-182f-446f-bef7-60114d9fa85a,Garry Tan,vc,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
8aff70f9-d8a4-4a45-9078-15678ef589fc,Alexis Ohanian,vc,USA,sevensevensix,sevensevensix.com,,0.0,,,0.0,,none,skipped
7a57cd0d-6a08-4ea7-84ee-78b0bb15e679,Sahil Lavingia,angel,USA,sahillavingia,sahillavingia.com,,0.0,,,0.0,,none,skipped
8b78e581-d607-4079-9bdb-e81d531329b4,Andrew Wilkinson,angel,Canada,tinycapital,tinycapital.com,,0.0,,,0.0,,none,skipped
42129e96-3802-444c-a58e-f12c3d8656da,Sam Altman,angel,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
2b3bfe5e-2bea-4a2b-95d3-96f8aa3217b1,Greg Brockman,angel,USA,OpenAI,openai.com,https://www.linkedin.com/company/openai,0.2,https://openai.com,,0.0,,none,linkedin link found on public website | skipped
485e6183-f062-4e10-b285-0c4499234512,Peter Thiel,angel,USA,Founders Fund,foundersfund.com,,0.0,,,0.0,,none,skipped
51f31063-aca1-4119-8a2b-97d6a304cdaa,Cyan Banister,angel,USA,Founders Fund,foundersfund.com,,0.0,,,0.0,,none,skipped
ba0d362b-1117-4169-826d-fd5225914626,Marc Andreessen,angel,USA,a16z,a16z.com,https://www.linkedin.com/in/immerman,0.45,https://a16z.com/team,,0.0,,none,linkedin link found on public website | skipped
fa0d21c0-c2e7-47af-ace4-f9e45932ad3a,Nat Friedman,angel,USA,GitHub,github.com,https://www.linkedin.com/company/github,0.2,https://github.com,,0.0,,none,linkedin link found on public website | skipped
f39c36e0-e66a-4989-903f-a760481bcd5e,Daniel Gross,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
648e867b-3f98-4fa8-8caf-7090c35d4e9e,Aileen Lee,vc,USA,Kleiner Perkins,kleinerperkins.com,https://www.linkedin.com/company/waymo,0.55,https://kleinerperkins.com,,0.0,,none,linkedin link found on public website | skipped
7328c5b4-edfb-4c46-8297-0521e0eb98be,Jean de La Rochebrochard,vc,France,Kima Ventures,kimaventures.com,,0.0,,,0.0,,none,skipped
c69fe0c4-2ac4-415a-80e2-26288ff32e40,Xavier Lorphelin,vc,France,Kima Ventures,kimaventures.com,,0.0,,,0.0,,none,skipped
c281a89d-38db-4dc8-8dc2-693a23c07520,Cyril de Tournemire,vc,France,Kima Ventures,kimaventures.com,,0.0,,,0.0,,none,skipped
2428bae8-40bc-4826-bc86-d499fb38c72d,David Cramer,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
d2063df3-d8f3-4978-85db-4670bb38bc7e,Chris Jennings,vc,USA,Foresite Capital,,,0.0,,,0.0,,none,no domain | skipped
09fa0c21-7e71-4341-bd0d-02267fc928ef,Brian Feinstein,vc,USA,Bessemer,bvp.com,https://www.linkedin.com/company/bessemer-venture-partners,0.55,https://bvp.com,,0.0,,none,linkedin link found on public website | skipped
cacdab9e-0a40-4dd2-9a5b-b444877517b6,Nicolas Dessaigne,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
e387882e-d5c5-49e0-a63b-111e63f9e61f,Julien Lemoine,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
01de0530-2e40-45ea-a1b7-2c47ead565a6,Mike Preuss,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
8003da1b-c814-4cab-8174-080df4ac45d8,Lukasz Gadowski,vc,Germany,Team Europe,,,0.0,,,0.0,,none,no domain | skipped
4633f18e-42a6-41e9-af1d-99613bc1929a,Verena Pausder,angel,Germany,,,,0.0,,,0.0,,none,no domain | skipped
be5a12bc-5b53-4280-9f35-f37188183d0a,Juha Ruohonen,vc,Finland,Maki,,,0.0,,,0.0,,none,no domain | skipped
d18ca473-45f4-49fe-81a0-f5bc847328fb,Mato Peric,vc,Croatia,South Central Ventures,,,0.0,,,0.0,,none,no domain | skipped
ecb4022c-16bd-44f6-9111-892778ab462a,500 Global,accelerator,USA,500 Global,500.co,,0.0,,,0.0,,none,skipped | skipped
2be42f6c-53b4-4d9c-b30b-156c5d1ef972,Angela Strange,vc,USA,a16z,a16z.com,,0.0,,,0.0,,none,skipped | skipped
eaa80cf2-963b-4101-a6ae-0ee19957959f,Antler,accelerator,Singapore,antler,antler.co,,0.0,,,0.0,,none,skipped | skipped
f4df1800-8b2a-48d9-a560-e298d5e3a15b,Tim Draper,vc,USA,draper,draper.vc,,0.0,,,0.0,,none,skipped | skipped
74d6ab55-d644-4e99-b504-9a79e862380b,Emerson Collective,vc,USA,emersoncollective,emersoncollective.com,,0.0,,,0.0,,none,skipped | skipped
9cbb8380-2107-4fed-b06e-6376a40e8865,Romain Lavault,vc,France,Partech,partechpartners.com,,0.0,,,0.0,,none,skipped | skipped
1960a177-26ed-4eb1-83cc-560ac400db2b,Seth Levine,vc,USA,Foundry Group,foundrygroup.com,,0.0,,,0.0,,none,skipped | skipped
e66d28fe-775b-4e55-82e3-04ebf1f4e1f0,Startupbootcamp,accelerator,UK,startupbootcamp,startupbootcamp.org,,0.0,,,0.0,,none,skipped | skipped
d1ad8084-2a90-4a62-b8ae-8b99a9cbbd76,Rockstart,accelerator,Netherlands,rockstart,rockstart.com,,0.0,,,0.0,,none,skipped | skipped
313d7596-7606-4dbe-90c5-af0acbb1b37e,IndieBio,accelerator,USA,indiebio,indiebio.co,,0.0,,,0.0,,none,skipped | skipped
bcc8dee0-acef-4695-a544-36e681b2e1bc,Anish Acharya,vc,USA,a16z,a16z.com,,0.0,,,0.0,,none,skipped | skipped
5081fcf0-a5ea-484f-ae16-c65522de7a8e,Eurie Kim,vc,USA,Forerunner,forerunnerventures.com,,0.0,,,0.0,,none,skipped | skipped
a6c22858-666b-4d56-a952-231a93137a1d,Cyril Collon,vc,France,Partech,partechpartners.com,,0.0,,,0.0,,none,skipped | skipped
a14179f4-5ee1-4161-b1c3-b9eb962a824d,Vlad Magdalin,angel,USA,Webflow,webflow.com,,0.0,,,0.0,,none,skipped | skipped
0d714c56-a762-4919-b688-3755eeadb8e2,Jorge Conde,vc,USA,a16z,a16z.com,,0.0,,,0.0,,none,skipped | skipped
6e129fe3-7166-41e4-b61e-fb86e58d7c1a,Paul Graham,angel,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
af9bd808-001b-484b-969a-04d92ee30339,Arlan Hamilton,vc,USA,backstagecapital,backstagecapital.com,,0.0,,,0.0,,none,skipped
b3fe6798-6541-43d7-ae4c-743688560b73,Niklas Zennström,vc,UK,Atomico,atomico.com,https://www.linkedin.com/company/atomico,0.55,https://atomico.com,,0.0,,none,linkedin link found on public website | skipped
085453cf-d1bf-477c-b559-0f58464d0f5b,Daniel Ek,angel,Sweden,,,,0.0,,,0.0,,none,no domain | skipped
6d792008-37dc-427d-af95-45e25562ec51,Camila Rioja,vc,Chile,Magma Partners,,,0.0,,,0.0,,none,no domain | skipped
52bb7957-37c4-432a-90ac-e75ae4401b85,Chris Dixon,vc,USA,a16z,a16z.com,,0.0,,,0.0,,none,skipped | skipped
33cbe90b-71db-4155-b6ff-f7689a1e8ecf,Kirsten Green,vc,USA,Forerunner,forerunnerventures.com,,0.0,,,0.0,,none,skipped | skipped
66a388a9-29e6-4e3a-84dc-501d2c6f4f6e,Brian Armstrong,angel,USA,Coinbase,coinbase.com,,0.0,,,0.0,,none,skipped
8294fb1d-e78e-4634-b92a-cbff1bc7c73e,Max Levchin,angel,USA,PayPal,paypal.com,,0.0,,,0.0,,none,skipped
ee0e6113-4b9d-4753-8423-855784b22779,Reid Hoffman,vc,USA,Greylock,greylock.com,https://www.linkedin.com/company/greylock-partners,0.55,https://greylock.com,,0.0,,none,linkedin link found on public website | skipped
b6d0163a-089f-4943-9d57-f7785ba5d40a,Taavet Hinrikus,angel,UK,Wise,wise.com,https://www.linkedin.com/company/wiseaccount,0.2,https://wise.com,,0.0,,none,linkedin link found on public website | skipped
b71b7b3a-cd01-4ebb-974e-c8eeab4cbd7a,Hiten Shah,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
f00ad3c9-044c-462d-8250-5d91e99fc339,Jaan Tallinn,angel,UK,,,,0.0,,,0.0,,none,no domain | skipped
698b7164-2bb8-40f7-bf12-849f8d449c22,Patrick Collison,angel,USA,Stripe,stripe.com,https://www.linkedin.com/company/stripe,0.2,https://stripe.com,,0.0,,none,linkedin link found on public website | skipped
00d26136-35aa-4a16-a2b0-7869cd4ccd01,John Collison,angel,USA,Stripe,stripe.com,https://www.linkedin.com/company/stripe,0.2,https://stripe.com,,0.0,,none,linkedin link found on public website | skipped
25483730-9d8d-41a6-8c6f-01410b6f45de,Aaron Levie,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
9fc6c81e-8407-4137-8280-f281cf562307,Sal Khan,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
9c8065ec-29e2-447e-808d-8810ebc12db4,Anne Wojcicki,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
9cc704ff-e368-4866-ab53-f48498bbb199,Bill Gates,angel,USA,Microsoft,microsoft.com,,0.0,,,0.0,,none,skipped
