id,name,type,country,company_hint,domain,linkedin_candidate,linkedin_confidence,linkedin_source,email_candidate,email_confidence,email_source,action,notes
32741c7e-a66b-449e-a038-83f58e92e696,Ali Partovi,angel,USA,Airbnb,airbnb.com,https://www.linkedin.com/company/airbnb,0.2,https://airbnb.com/team,,0.0,,none,linkedin link found on public website | skipped
5982303a-6b4a-44e2-94a5-7ce8a056b40e,Scott Banister,angel,USA,PayPal,paypal.com,,0.0,,,0.0,,none,skipped
e7da8b02-cbb6-410a-b2c1-e636ad471da7,Owen Van Natta,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
261f3c41-94d2-4d7c-a2c1-af48d916db61,Amr Awadallah,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
4fa0966a-deee-4400-bbfa-636b42992b8a,Antonio Garcia Martinez,angel,UK,,,,0.0,,,0.0,,none,no domain | skipped
acacc0ae-28ee-49dc-8064-ef53bc792cf4,Luke Nosek,angel,USA,Founders Fund,foundersfund.com,,0.0,,,0.0,,none,skipped
be38fada-5f2a-4bf4-9746-f3116d71ee3d,Lars Dalgaard,vc,USA,a16z,a16z.com,https://www.linkedin.com/company/a16z,0.55,https://a16z.com,,0.0,,none,linkedin link found on public website | skipped
8f5b5bba-da7b-449a-bf1b-aa69e4961ec7,Alex Kolicich,vc,USA,,,,0.0,,,0.0,,none,no domain | skipped
b40a6774-3ef4-48ef-882f-e746e3cc0036,Zach Weinberg,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
159de74e-2d28-4638-a2dd-dc12970915e7,Nat Turner,angel,USA,,,,0.0,,,0.0,,none,no domain | skipped
9812cba7-7e22-4698-8b2b-465274785c61,Stephanie Palmeri,vc,USA,Uncork Capital,,,0.0,,,0.0,,none,no domain | skipped
caf6cf81-8988-4378-b28c-bfcb09f119ba,Jeff Clavier,vc,USA,,,,0.0,,,0.0,,none,no domain | skipped
8951a98a-e733-45e6-9dcb-4d829928add7,Manu Rekhi,vc,USA,Inventus Capital,,,0.0,,,0.0,,none,no domain | skipped
b7eb6f5b-6b4e-4515-8118-8dbc835efd8a,Venky Ganesan,vc,USA,Menlo Ventures,,,0.0,,,0.0,,none,no domain | skipped
e4afd9cc-e5bc-4bf9-9b0c-96097e500e8b,Aaron Harris,vc,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
ffe71263-40c1-4e38-9fab-743507c6b8c6,Geoff Ralston,vc,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
68011efb-61ea-47f1-8f1a-5488976997ba,Harj Taggar,vc,USA,Y Combinator,ycombinator.com,,0.0,,,0.0,,none,skipped
