first_name,last_name,company,domain,bio,industries
Keith,Johnson,"Ally Waste Services Topco, LLC",allywasteservicestopco.com,"SEC Form D Filer (Director at Ally Waste Services Topco, LLC)","form_d, recent_funding"
Jay,Davis,"Ally Waste Services Topco, LLC",allywasteservicestopco.com,"SEC Form D Filer (Director at Ally Waste Services Topco, LLC)","form_d, recent_funding"
Sean,Klimczak,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Vikrant,Sawhney,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Christopher,Striano,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Joseph,Rocco,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Michael,Knauss,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Paul,Schlaack,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Christopher,Placca,Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.,blackstoneinfrastructurepartnerssupplementalaccountialp.com,SEC Form D Filer (Director at Blackstone Infrastructure Partners (Supplemental Account I-A) L.P.),"form_d, recent_funding"
Isaac,Fried,14 BRASS CASTLE FUNDING L.P.,14brasscastlefundinglp.com,SEC Form D Filer (Director at 14 BRASS CASTLE FUNDING L.P.),"form_d, recent_funding"
